,Applicant.ID,tags
612,1711,  dessert maker electrical trainne  
613,1717,  assistent  
614,1722,  none  
615,1723,  barista server head waitress  
616,1729,  barista community and content manager customer service specialist  
617,1736,  none none  
618,1742,  wine buyer captain managerbartender front of house manager  
619,1747,  counselor sales associate assistant director  
620,1752,   cashier  
621,1754,  intern   
622,1757,  none  
623,1760,  servingcleaning  
624,1766,     
625,1780,  none  
626,1789,  waiter none  
627,1791,  none  
628,1800,  barista  
629,1801,  server deputy program manager hr professional server credit analyst  
630,1802,  product manager contador  
631,1805,  none  
632,1828,  front desk agent peer advisor  
633,1833,  clerkmeat dept.  
634,1847,  server  
635,1856,  painter  
636,1863,  co founder teaching assistant research assistant  
637,1868,  splicing technician project managerbusiness development  
638,1877,sales associate  sees candies  sunnyvale registration coordinator reeptionist front desk extern receptionist
639,1878,  sales  
640,1881,  none  
641,1888,  assistant electrician  
642,1891,  hostess sales associate  
643,1896,  bar tender server  
644,1897,  server server assistant manager  
645,1898,  none none  
646,1906,  station agent messenger warehouse worker
647,1912,  server  
648,1916,  crew member  
649,1924,  none  
650,1929,  salesgirl  
651,1932,  spanish tutor  
652,1935,  counter personserver sales associate student research assistant  
653,1937,  none  
654,1955,  community asst.  
655,1956,  none  
656,1960,  workshop artist explainer artist educator artist educator art teacher  
657,1962,  college assistant at enrollment service centerassistant to president administrative assistant office assistantprocurement analysis case management assistant  
658,1974,  in home care  
659,1977,  oyaji restaurant  
660,1981,  none none  
661,1983,  data analysisentry storage organizer store cashier mail carrierdeliver  
662,1994,  teen staff teen staff teen staff  
663,1995,  none none  
664,2000,  collector  
665,2005,  sales person  internship at meridian gallery internship at percitia eyes art contract  
666,2007,  translator   
667,2008,  sales associate cleaning crew  
668,2011,  waitress  
669,2012,  assistant coordinator busser  
670,2016,  secretary  office manager bartender  waitress  
671,2020,  waitresscashier  
672,2022,  none   
673,2023,  associate custoer srvice officer client services officer associate  
674,2026,  food service   
675,2038,  busboy  
676,2049,  cashier  
677,2055,  entry level  
678,2059,  operator  
679,2061,  hostessserverbanquet mgr executor of estate serverhostessoffice  
680,2065,  nonenoneny  
681,2069,  care attendent chef line cook book keeper dishwasher server
15385,2071,    customer service rep host server sales rep receptionist book keeper
15386,2072,    book keeper server host receptionist sales rep customer service rep
682,2074,  data scientist data scientist barista bartender customer service rep engineer ios developer  store manager japanese translator cfo
683,2075,driving partner  uber  san francisco manager web developper manager line cook customer service rep server
684,2075,valet attendant  standard parking a sp company  san francisco manager web developper manager line cook customer service rep server
15387,2076,    receptionist customer service rep
685,2077,  founder rotational project engineer office engineer cofounder server host barista bartender sales rep tutor customer service rep book keeper
686,2079,  server server bartender
15388,2081,    administration
687,2082,  business development and innovation consultant business development and innovation director founder  operations director technical analyst web programmer and researcher application programmer  
688,2083,  mentee engineer operations officer coo founder ceo founder bartender
689,2086,    
690,2087,  business analyst sales rep
691,2090,  web developer  
15389,2091,    sales rep
692,2092,  web developer web developer
693,2093,  mba intern content  product solutions sales and marketing manager senior associate  sales and marketing  
694,2094,    executivemanufacturing book keeper
695,2095,  value cleaner customer service rep
696,2097,  loan service specialistloan consultant inside sales lead generator account executive inside sales representativetemp inside sales representative account executive independent distributor customer service rep receptionist sales rep
15390,2098,    host receptionist book keeper customer service rep
15391,2099,    receptionist server customer service rep sales rep book keeper host
697,2102,  financial analyst  director of operations financial analyst manager cash management and banking office assistant manager cashiers office senior accounting clerk cashiers office accounts payable various positions book keeper customer service rep sales rep
15392,2103,    sales rep customer service rep
698,2104,  president supervisor  
